amount,hour,transaction_type,merchant_category,country,device_risk_score,ip_risk_score,account_age_days,previous_transactions,international,is_fraud
90.44,13,ATM,Entertainment,India,0.319,0.602,980,17,0,0
23.57,7,POS,Entertainment,India,0.614,0.286,35,12,0,0
141.24,2,POS,Electronics,UK,0.065,0.622,531,12,1,0
170.81,10,Online,Entertainment,India,0.105,0.202,537,12,0,0
9.48,6,POS,Travel,India,0.06,0.138,2334,10,0,0
18.13,13,Bank Transfer,Food,Singapore,0.367,0.525,1225,11,1,0
75.78,19,Bank Transfer,Travel,India,0.627,0.574,1127,15,0,0
48.61,13,POS,Utilities,India,0.399,0.156,2252,6,0,0
65.58,13,ATM,Entertainment,India,0.421,0.249,216,13,0,0
28.42,1,Online,Food,UK,0.135,0.022,1150,13,1,0
160.68,15,ATM,Electronics,India,0.341,0.152,1202,6,0,0
145.15,10,Bank Transfer,Food,UK,0.209,0.269,619,6,1,0
71.24,2,Online,Entertainment,India,0.28,0.634,972,13,0,0
205.87,5,POS,Travel,India,0.139,0.143,2486,10,0,0
106.43,18,POS,Entertainment,India,0.114,0.064,2060,12,0,0
28.24,22,Online,Travel,India,0.185,0.199,1023,7,0,0
96.42,12,Bank Transfer,Grocery,India,0.308,0.352,2619,13,0,0
25.56,23,Online,Entertainment,UK,0.574,0.112,341,5,1,0
160.53,4,Online,Entertainment,India,0.028,0.037,2642,12,0,0
63.44,7,POS,Electronics,India,0.153,0.413,1901,10,0,0
55.43,22,Bank Transfer,Food,UAE,0.511,0.32,631,19,1,0
33.75,4,POS,Entertainment,India,0.111,0.302,2594,9,0,0
226.45,15,ATM,Entertainment,India,0.453,0.314,423,7,0,0
57.14,5,Online,Utilities,India,0.523,0.288,1730,9,0,0
43.45,7,POS,Utilities,India,0.173,0.211,1772,18,0,0
46.89,11,POS,Electronics,UAE,0.521,0.159,2989,16,1,0
113.56,8,Online,Travel,UAE,0.23,0.269,659,12,1,0
96.11,20,POS,Grocery,India,0.28,0.328,2622,14,0,0
100.76,23,ATM,Food,UAE,0.268,0.038,426,12,1,0
102.6,12,ATM,Food,India,0.4,0.09,734,15,0,0
567.73,12,POS,Entertainment,UAE,0.342,0.449,112,8,1,0
44.42,1,Online,Grocery,Singapore,0.376,0.278,988,14,1,0
39.96,5,POS,Entertainment,India,0.43,0.119,2181,6,0,0
29.55,0,POS,Entertainment,India,0.419,0.582,588,14,0,0
123.47,20,ATM,Entertainment,UK,0.548,0.05,219,14,1,0
206.23,5,ATM,Food,India,0.197,0.73,1673,18,0,0
59.5,8,ATM,Grocery,India,0.142,0.019,17,10,0,0
28.78,20,POS,Electronics,India,0.119,0.161,1956,12,0,0
29.24,17,Online,Food,India,0.312,0.168,2251,11,0,0
127.82,14,Online,Food,India,0.196,0.29,2249,9,0,0
140.23,0,Bank Transfer,Food,India,0.247,0.193,276,16,0,0
114.8,13,Online,Food,USA,0.295,0.039,1589,12,1,0
34.28,13,Bank Transfer,Food,India,0.383,0.398,966,10,0,0
84.11,7,POS,Travel,India,0.236,0.37,368,14,0,0
74.94,17,Online,Food,India,0.274,0.343,486,14,0,0
82.99,22,ATM,Travel,India,0.241,0.163,751,13,0,0
159.4,6,Online,Electronics,USA,0.034,0.186,2261,10,1,0
83.4,7,Online,Electronics,India,0.217,0.383,1405,12,0,0
131.49,7,Online,Entertainment,USA,0.502,0.285,265,13,1,0
71.35,20,Bank Transfer,Utilities,India,0.048,0.343,808,17,0,0
89.04,1,POS,Food,USA,0.175,0.071,533,8,1,0
125.37,21,Bank Transfer,Grocery,India,0.614,0.202,153,9,0,0
15.53,18,Online,Entertainment,Singapore,0.259,0.388,2627,14,1,0
48.44,11,Online,Travel,India,0.399,0.323,2668,9,0,0
41.66,14,Online,Grocery,Singapore,0.067,0.562,173,18,1,0
35.2,21,POS,Travel,India,0.403,0.094,1564,12,0,0
50.65,18,Bank Transfer,Utilities,India,0.098,0.462,2580,12,0,0
297.36,6,Bank Transfer,Electronics,India,0.552,0.538,1786,13,0,0
28.06,1,Bank Transfer,Travel,India,0.188,0.399,1024,13,0,0
175.61,15,Bank Transfer,Grocery,India,0.508,0.279,308,6,0,0
12.39,3,Online,Food,UK,0.102,0.349,279,13,1,0
47.71,2,Online,Entertainment,UK,0.328,0.316,2731,13,1,0
78.47,23,Bank Transfer,Electronics,India,0.44,0.299,1922,12,0,0
119.85,11,POS,Grocery,UAE,0.255,0.432,2587,11,1,0
135.81,15,ATM,Electronics,India,0.466,0.413,2925,10,0,0
147.43,5,Online,Food,India,0.112,0.352,1172,11,0,0
47.05,2,Online,Grocery,UK,0.253,0.05,2109,13,1,0
42.0,1,Online,Travel,India,0.197,0.163,595,8,0,0
157.27,8,Online,Grocery,India,0.194,0.246,2023,12,0,1
55.07,0,POS,Electronics,India,0.172,0.134,2383,12,0,0
18.62,10,Online,Travel,India,0.375,0.48,1606,8,0,0
21.47,7,Online,Travel,India,0.321,0.314,1723,9,0,0
26.59,12,POS,Grocery,India,0.191,0.214,1359,16,0,0
109.64,14,POS,Entertainment,India,0.431,0.576,2494,8,0,0
76.89,7,Online,Electronics,UK,0.628,0.206,1521,13,1,0
133.02,10,POS,Utilities,UAE,0.253,0.264,1446,13,1,0
43.5,1,ATM,Electronics,India,0.075,0.348,1140,13,0,0
78.14,7,POS,Travel,India,0.187,0.172,2673,7,0,0
124.66,23,Online,Travel,India,0.497,0.122,269,13,0,0
48.94,23,POS,Utilities,India,0.035,0.024,2148,17,0,0
105.3,11,Online,Food,India,0.124,0.354,1275,13,0,0
34.4,22,Online,Travel,India,0.384,0.311,1057,8,0,0
46.38,12,Online,Food,UK,0.475,0.354,1313,13,1,0
45.53,3,Online,Food,India,0.243,0.233,2264,9,0,0
20.17,20,Online,Grocery,USA,0.41,0.054,1058,12,1,0
108.52,9,POS,Entertainment,India,0.323,0.399,965,10,0,0
41.7,14,Online,Grocery,Singapore,0.25,0.152,2977,10,1,0
67.52,15,Online,Travel,India,0.46,0.134,1289,10,0,0
107.85,7,Online,Entertainment,UK,0.122,0.103,2407,9,1,0
104.22,17,Online,Electronics,UK,0.278,0.604,1199,12,1,0
129.72,12,ATM,Travel,India,0.517,0.171,2930,21,0,0
60.43,8,Online,Grocery,India,0.391,0.493,1255,13,0,0
43.67,7,POS,Food,USA,0.461,0.041,1092,12,1,0
61.58,17,POS,Entertainment,India,0.275,0.486,2177,12,0,0
12.34,5,POS,Travel,India,0.679,0.668,2447,8,0,0
15.69,2,Online,Electronics,India,0.542,0.312,737,11,0,1
17.77,21,ATM,Electronics,UK,0.649,0.199,2814,7,1,0
24.6,7,ATM,Utilities,India,0.513,0.537,970,13,0,0
99.46,15,Online,Entertainment,India,0.112,0.124,2686,15,0,0
26.96,17,POS,Travel,India,0.438,0.131,1537,5,0,0
45.69,20,Bank Transfer,Food,India,0.182,0.071,1718,14,0,0
244.5,15,POS,Utilities,USA,0.171,0.266,831,14,1,0
46.7,16,Online,Electronics,India,0.366,0.217,490,12,0,0
139.42,20,Bank Transfer,Grocery,India,0.259,0.328,399,6,0,0
26.22,22,Online,Travel,India,0.165,0.365,340,9,0,0
54.3,1,POS,Food,India,0.066,0.17,2109,7,0,0
25.79,17,POS,Utilities,USA,0.214,0.486,1840,21,1,0
47.51,4,Online,Travel,India,0.448,0.333,1792,10,0,0
154.52,21,POS,Grocery,UK,0.036,0.221,2777,11,1,0
11.85,1,Online,Travel,USA,0.105,0.224,2838,13,1,0
102.97,5,Online,Electronics,Singapore,0.224,0.377,1460,11,1,0
84.58,4,POS,Grocery,India,0.378,0.126,2228,13,0,0
36.81,14,POS,Grocery,India,0.307,0.575,238,11,0,0
15.7,0,ATM,Food,India,0.151,0.38,1716,17,0,0
71.67,0,Online,Entertainment,UAE,0.126,0.728,1296,13,1,1
39.27,12,ATM,Travel,USA,0.234,0.504,800,7,1,0
84.16,23,Online,Food,India,0.454,0.1,1137,12,0,0
68.16,12,POS,Food,USA,0.337,0.355,599,17,1,0
330.89,10,Online,Entertainment,India,0.461,0.084,1537,18,0,0
52.49,15,Online,Utilities,India,0.544,0.264,1570,15,0,0
23.96,13,Online,Utilities,UK,0.569,0.209,358,10,1,0
79.78,9,ATM,Travel,India,0.247,0.142,1382,15,0,0
83.1,14,Bank Transfer,Utilities,UAE,0.282,0.214,952,12,1,0
259.61,0,ATM,Grocery,Singapore,0.374,0.201,1215,13,1,0
153.72,5,Online,Utilities,UAE,0.2,0.173,2687,13,1,0
95.28,16,Online,Grocery,UK,0.513,0.742,1325,8,1,0
288.1,8,Online,Grocery,India,0.521,0.291,1963,15,0,0
20.31,1,POS,Grocery,India,0.496,0.388,637,12,0,0
35.17,2,ATM,Grocery,India,0.274,0.045,2885,14,0,0
26.4,20,Bank Transfer,Electronics,UK,0.611,0.12,1262,12,1,0
45.16,7,POS,Food,India,0.322,0.377,942,7,0,0
16.83,0,Bank Transfer,Entertainment,Singapore,0.069,0.277,118,12,1,0
125.86,17,ATM,Grocery,India,0.451,0.266,2544,9,0,0
53.4,12,Online,Travel,India,0.487,0.103,1681,11,0,0
15.32,10,Bank Transfer,Grocery,India,0.109,0.123,433,12,0,0
24.15,21,POS,Grocery,USA,0.104,0.203,1671,11,1,1
91.24,7,POS,Entertainment,India,0.179,0.51,802,13,0,0
154.18,13,POS,Food,India,0.315,0.232,2000,8,0,0
491.14,17,Online,Travel,India,0.229,0.227,534,9,0,0
1228.88,14,Online,Travel,India,0.21,0.457,2141,14,0,0
100.93,4,Bank Transfer,Utilities,UAE,0.298,0.11,536,14,1,0
24.79,16,POS,Food,India,0.104,0.144,2022,14,0,0
7.91,17,POS,Travel,India,0.13,0.122,873,10,0,0
87.16,2,Online,Utilities,India,0.052,0.355,2411,10,0,0
29.58,3,POS,Travel,India,0.386,0.439,1595,6,0,0
44.02,16,ATM,Travel,India,0.184,0.179,400,14,0,0
36.16,2,Online,Entertainment,India,0.511,0.266,2606,13,0,0
57.93,21,Bank Transfer,Food,India,0.481,0.646,2658,16,0,0
193.64,2,Online,Grocery,India,0.409,0.316,971,17,0,0
78.03,23,POS,Entertainment,India,0.393,0.41,1165,18,0,0
56.9,16,POS,Travel,UK,0.154,0.211,31,16,1,0
23.67,10,POS,Entertainment,India,0.374,0.075,2000,9,0,0
12.49,6,Bank Transfer,Electronics,USA,0.373,0.277,1353,11,1,0
41.0,8,Online,Entertainment,India,0.195,0.236,362,12,0,0
63.19,17,Online,Utilities,Singapore,0.186,0.344,1953,15,1,0
390.7,18,POS,Entertainment,India,0.657,0.502,673,10,0,0
75.97,5,Bank Transfer,Utilities,UK,0.394,0.438,703,14,1,0
178.17,13,POS,Food,Singapore,0.18,0.169,2792,10,1,0
40.48,23,ATM,Grocery,UAE,0.248,0.03,2243,9,1,0
20.39,6,ATM,Food,UK,0.099,0.119,413,11,1,0
25.4,16,POS,Electronics,India,0.076,0.092,1712,22,0,0
32.29,4,Online,Entertainment,UAE,0.294,0.181,1396,9,1,0
560.3,20,POS,Travel,UK,0.092,0.181,433,12,1,0
29.33,4,Online,Entertainment,India,0.206,0.531,284,9,0,0
154.24,7,Bank Transfer,Electronics,India,0.199,0.396,2604,12,0,0
27.03,11,Online,Entertainment,UAE,0.223,0.279,280,16,1,0
169.28,8,ATM,Electronics,India,0.075,0.487,1799,8,0,0
98.0,4,Online,Electronics,UK,0.207,0.351,2981,6,1,0
57.02,15,POS,Travel,India,0.502,0.055,1160,12,0,0
64.02,0,ATM,Entertainment,USA,0.371,0.296,1916,16,1,0
34.65,23,Online,Grocery,India,0.246,0.419,1332,8,0,0
104.18,1,POS,Travel,USA,0.249,0.193,1908,10,1,0
42.31,8,Online,Electronics,India,0.046,0.391,832,8,0,0
19.58,22,Online,Grocery,UAE,0.26,0.514,812,9,1,0
18.58,3,ATM,Utilities,India,0.215,0.303,1691,6,0,0
79.25,1,POS,Electronics,India,0.146,0.525,457,10,0,0
323.47,17,Bank Transfer,Travel,India,0.22,0.578,1690,10,0,0
78.26,1,Online,Travel,India,0.387,0.39,1841,14,0,0
59.23,21,POS,Travel,UAE,0.349,0.042,2943,14,1,0
88.75,10,POS,Food,India,0.088,0.175,748,11,0,0
246.16,20,ATM,Electronics,India,0.254,0.446,322,16,0,0
83.04,5,Online,Travel,UK,0.398,0.185,813,15,1,0
44.22,3,Online,Utilities,India,0.611,0.064,2404,12,0,0
201.6,23,POS,Food,India,0.196,0.076,1261,8,0,0
102.39,18,Online,Electronics,USA,0.328,0.359,497,17,1,0
309.75,21,ATM,Food,India,0.085,0.435,675,13,0,0
80.1,7,POS,Food,Singapore,0.335,0.059,2403,16,1,0
19.6,9,Bank Transfer,Grocery,India,0.438,0.176,2818,17,0,0
16.98,13,POS,Entertainment,India,0.434,0.213,453,12,0,0
347.56,10,POS,Travel,India,0.411,0.299,1734,6,0,0
373.78,5,Online,Grocery,Singapore,0.257,0.093,2947,14,1,0
55.73,9,ATM,Food,India,0.251,0.479,206,18,0,0
45.46,14,POS,Utilities,USA,0.303,0.192,481,15,1,0
287.56,0,Online,Entertainment,India,0.433,0.309,1448,13,0,0
22.04,8,POS,Travel,India,0.349,0.416,208,10,0,0
